ID;Respuesta;Cod
197;Noticias que apuntan a que haya una intencionalidad en la propagación del virus;d
537;no recuerda;j
279;la cantidad de muertes por covid son muchas mas de las que de verdad son.;b
600;Los muertos de Coronavirus por pais, no mueren del covid sino mueren por covid;b
638;Exageran la situacion;k
31;La politica de la OMS es falsa;k
357;Consumir cloro para curar el covid;c
603;los remedios caseros que utilizan las personas para curar el coronavirus;c
372;persona cree que muertes por covid son menos;b
308;Uso de medicamentos para combatir la enfermedad;c
643;consumir limon para curar el virus;c
305;Los casos nuevos son falsos;a
454;fue creado en un laboratorio el covid;d
384;La cantidad de contagiados es falsa;a
69;Mal manejo de la información en algunos medios de comunicación, dan la información a medias;a
601;que las personas no se mueren de covid;b
164;noticias falsas sobre vacunas;v
28;Que todo es falso;k
218;EL DOLOR DE GARGANTA ES UN SINTOMA DEL COVID Y ESO TOTALMENTE FALSO;e
633;los nexos de contagio;a
589;Severidad del coronavirus;k
458;el uso de clorito de sodio;c
423;Numero de infectados es manipulado;a
656;Medios de transmision del COVID-19 incorrectos.;e
432;Medicamentos que no sirven;a
466;99;j
676;Los datos que da el gobierno no son reales, las muertes se le atribuyen al virus.;b
390;99;j
190;Le atribuyen muerte por COVID a alguien y no lo tenía (el virus);b
97;Duda de los número de casos diarios.;b
628;Que el virus no existe;k
588;Cura para el coronavirus;c
449;que el presidente de EEUU no se contagio de covid;g
517;Existen remedios caseros para el coronavirus;c
16;Que el virus no existe y es un complot del gobierno;k
310;Que la vacuna estaria lista en el año 2020;v
490;Ministro de Salud: Pasamos la primera ola y no era cierto;a
140;El coronavirus surgió de forma natural;d
205;La cantidad de muertes que son relacionadas al COVID;b
149;contagio de asintomaticos;e
92;Covid creado en un laboratorio;d
266;los numero de recuperados del covid;a
265;dijeron que habia una cura que era como un liquido.;c
236;los casos y muertes son infladas;a
98;Invento de las farmaceuticas para ganar dinero;d
89;99;j
672;La cantidad de muertos, que ponen muertos por culpa del covid cuando no es asi;b
296;Se puede contagiar por medio de mascotas;e
169;Casos falsos;a
544;no recuerda;j
29;Los datos sn falsos;a
280;99;j
504;Los datos que están presentando las autoridades;a
77;pOCOS CONTAGIOS EN CHINA;a
353;Curas miraglosas;c
130;Muchas muertes;b
80;Uso de cloro para curar covid;c
471;INFLAN LAS CIFRAS DE LAS PERSONAS FALLECIDAS;b
559;dicen que las personas mueren de covid y no es asi;b
234;que es falso;k
414;Los casos que reportan;a
59;Manejo de las cifras, se especula mucho;a
239;numero de casos;a
170;Numero de casos;a
630;se brotan los niños por la enfermedad;e
277;que uno se hace inmune ya despues de que le da;e
499;Que Donald Trump tuviera el coronavirus;g
500;Sobre el alza repentina de infectados;a
488;Las cifras diarias de infectados;a
270;99;j
462;que el dioxido de cloro funciona;c
385;Las estadisticas en general de los casos son falsas;a
434;Los numeros de casos son inflados;a
1;Los reportes de salud;a
289;Se descubrió la cura;c
134;Aumentan mucho los casos;a
231;fue un invento para reducir la poblacion;d
371;La careta funcionaba;e
213;HA VISTO INFORMACION CONTRARIA A LA QUE MUESTRASN LAS AUTORIDADES;a
68;Las noticias en general son contradictorias, la gente va a la CCSS y salen infectados, pero van a un consultorio privado y salen curados;a
147;Cantidad diaria de contagiados;a
402;medicamentos alternativos para curar covid;c
251;Resultados de la vacuna y cuando nació en coravirus;v
473;MUERTES;b
62;Invento de las personas poderosas;d
260;Va a llegar a ser como cualquier otro tipo de gripe;k
651;Aumentando la cifra de muertos;b
532;Manipulación de los datos;a
527;La cantidad de infectados es falsa;a
104;Los diagnósticos por muertes, se mueren con COVID no por COVID;b
